航母;0.00010,0.00010,0.00025,0.00010,0.00025,0.00020,0.00030,0.00010,0.00030,0.00010,0.05120,0.00025,0.00010,0.00010,0.00025,0.00030,0.00030,0.00040
历史;0.00020,0.00130,0.00575,0.00140,0.00075,0.00080,0.00340,0.00040,0.00350,0.07940,0.00430,0.00075,0.00110,0.01140,0.00025,0.00150,0.00480,0.00490
美味;0.00070,0.00020,0.00025,0.00010,0.00025,0.00020,0.00020,0.05150,0.00020,0.00010,0.00010,0.00150,0.00030,0.00010,0.00025,0.00020,0.00150,0.00070
怀孕;0.05820,0.00020,0.00025,0.00340,0.00050,0.00070,0.00010,0.00090,0.00070,0.00020,0.00020,0.00150,0.00240,0.00050,0.00550,0.00010,0.00070,0.00160
孕;0.05550,0.00010,0.00025,0.00220,0.00050,0.00200,0.00010,0.00080,0.00020,0.00030,0.00010,0.00300,0.00140,0.00040,0.00200,0.00040,0.00020,0.00140
美食;0.00050,0.00010,0.00025,0.00080,0.00025,0.00040,0.00010,0.05510,0.00020,0.00020,0.00010,0.00125,0.00010,0.00040,0.00025,0.00030,0.00750,0.00040
句子;0.00020,0.00010,0.00025,0.00010,0.04350,0.00010,0.00010,0.00010,0.00010,0.00010,0.00010,0.00025,0.00010,0.00010,0.00025,0.00010,0.00020,0.00010
导弹;0.00010,0.00010,0.00025,0.00010,0.00025,0.00010,0.00020,0.00010,0.00030,0.00040,0.04570,0.00025,0.00050,0.00010,0.00025,0.00010,0.00010,0.00090
人类;0.00050,0.00030,0.06825,0.00040,0.00075,0.00020,0.00040,0.00080,0.00140,0.00100,0.00180,0.00150,0.00060,0.00060,0.00075,0.00430,0.00160,0.00240
款;0.00270,0.11330,0.00050,0.00200,0.00125,0.05800,0.00270,0.01530,0.01380,0.00050,0.01780,0.00375,0.00180,0.00110,0.00050,0.02380,0.00110,0.00040
苹果;0.00050,0.00050,0.00075,0.00100,0.00025,0.00080,0.00210,0.00260,0.00170,0.00020,0.00050,0.00250,0.00140,0.00010,0.00075,0.05470,0.00050,0.00230
旅游;0.00050,0.00070,0.00150,0.00060,0.00025,0.00060,0.00190,0.00110,0.00020,0.00050,0.00040,0.00025,0.00210,0.00020,0.00125,0.00200,0.05160,0.00240
海军;0.00010,0.00010,0.00050,0.00010,0.00025,0.00030,0.00010,0.00010,0.00010,0.00090,0.04220,0.00025,0.00020,0.00010,0.00025,0.00030,0.00020,0.00080
总统;0.00010,0.00090,0.00050,0.00040,0.00025,0.00060,0.00050,0.00020,0.00010,0.00350,0.00230,0.00025,0.00050,0.00040,0.00075,0.00020,0.00070,0.04870
小米;0.00020,0.00020,0.00025,0.00010,0.00025,0.00030,0.00030,0.00080,0.00060,0.00010,0.00010,0.00050,0.00010,0.00010,0.00025,0.04180,0.00030,0.00010
战机;0.00010,0.00010,0.00025,0.00010,0.00025,0.00010,0.00010,0.00010,0.00050,0.00040,0.04160,0.00025,0.00010,0.00010,0.00025,0.00020,0.00010,0.00130
生;0.08530,0.00160,0.00350,0.01310,0.01225,0.00230,0.00270,0.00650,0.00530,0.00830,0.00360,0.00925,0.00750,0.00230,0.02100,0.00340,0.00280,0.00580
NBA;0.00010,0.00030,0.00050,0.00020,0.00050,0.00040,0.00020,0.00010,0.00040,0.00010,0.00010,0.00025,0.00010,0.04000,0.00025,0.00050,0.00010,0.00010
守望;0.00010,0.00010,0.00025,0.00010,0.00050,0.00010,0.00020,0.00010,0.03950,0.00010,0.00050,0.00025,0.00020,0.00030,0.00025,0.00030,0.00030,0.00010
句;0.01100,0.00290,0.00100,0.00600,0.09600,0.00050,0.00160,0.00070,0.00230,0.01290,0.00420,0.00450,0.00420,0.00320,0.00850,0.00240,0.00070,0.00080
做;0.06350,0.01020,0.00600,0.01300,0.02425,0.01820,0.01650,0.14060,0.01270,0.02100,0.00980,0.03525,0.01900,0.00890,0.01900,0.03270,0.00740,0.01020
人生;0.00380,0.00210,0.00025,0.00480,0.07825,0.00260,0.00220,0.00150,0.00260,0.00530,0.00120,0.00025,0.00240,0.00150,0.00250,0.00160,0.00200,0.00130
黑洞;0.00010,0.00010,0.03950,0.00020,0.00025,0.00040,0.00030,0.00010,0.00050,0.00020,0.00030,0.00025,0.00030,0.00020,0.00025,0.00020,0.00010,0.00030
NASA;0.00010,0.00010,0.03725,0.00010,0.00025,0.00010,0.00010,0.00010,0.00010,0.00010,0.00040,0.00025,0.00010,0.00010,0.00025,0.00060,0.00010,0.00030
先锋;0.00010,0.00030,0.00025,0.00020,0.00025,0.00010,0.00030,0.00010,0.03790,0.00020,0.00050,0.00025,0.00020,0.00020,0.00025,0.00050,0.00030,0.00010
解放军;0.00010,0.00010,0.00025,0.00030,0.00025,0.00010,0.00010,0.00030,0.00030,0.00150,0.03700,0.00025,0.00010,0.00030,0.00025,0.00010,0.00010,0.00030
华为;0.00010,0.00010,0.00025,0.00030,0.00025,0.00020,0.00120,0.00020,0.00040,0.00010,0.00020,0.00025,0.00030,0.00030,0.00025,0.03690,0.00020,0.00030
发现;0.00860,0.00420,0.11425,0.00370,0.00175,0.00240,0.00150,0.00340,0.00240,0.00530,0.00560,0.00800,0.01750,0.00100,0.04200,0.00260,0.00910,0.01100
男子;0.00070,0.00330,0.00200,0.00170,0.00050,0.00050,0.00010,0.00110,0.00080,0.00050,0.00030,0.00400,0.05930,0.00320,0.01375,0.00020,0.00200,0.01610
魔;0.00030,0.00060,0.00125,0.00720,0.00075,0.00070,0.00070,0.00120,0.05290,0.00090,0.00080,0.00050,0.00100,0.00690,0.00300,0.00210,0.00130,0.00120
语录;0.00010,0.00010,0.00025,0.00060,0.03800,0.00010,0.00030,0.00010,0.00040,0.00080,0.00030,0.00025,0.00010,0.00040,0.00025,0.00030,0.00020,0.00030
英国;0.00100,0.00170,0.00225,0.00070,0.00025,0.00190,0.01110,0.00140,0.00070,0.00460,0.00510,0.00025,0.00080,0.00440,0.00050,0.00110,0.00180,0.05810
兽;0.00010,0.00040,0.00225,0.00310,0.00025,0.00040,0.00020,0.00020,0.04340,0.00070,0.00100,0.00050,0.00050,0.00320,0.00150,0.00080,0.00060,0.00040
股份;0.00010,0.00030,0.00025,0.00020,0.00025,0.00010,0.03430,0.00010,0.00010,0.00010,0.00010,0.00025,0.00020,0.00030,0.00025,0.00090,0.00010,0.00020
歼;0.00010,0.00010,0.00050,0.00010,0.00025,0.00010,0.00010,0.00010,0.00010,0.00030,0.03260,0.00025,0.00010,0.00010,0.00025,0.00010,0.00010,0.00030
妈;0.05540,0.00020,0.00025,0.00670,0.00025,0.00570,0.00080,0.00590,0.00180,0.00080,0.00110,0.00225,0.00450,0.00060,0.00575,0.00070,0.00120,0.00170
DNF;0.00020,0.00010,0.00025,0.00010,0.00025,0.00010,0.00010,0.00010,0.03180,0.00010,0.00010,0.00025,0.00010,0.00010,0.00025,0.00010,0.00010,0.00010
武器;0.00010,0.00010,0.00125,0.00020,0.00075,0.00040,0.00030,0.00070,0.01310,0.00210,0.04760,0.00100,0.00020,0.00040,0.00100,0.00110,0.00030,0.00200
香;0.00090,0.00090,0.00025,0.00150,0.00100,0.00430,0.00130,0.04560,0.00250,0.00110,0.00040,0.00050,0.00080,0.00060,0.00200,0.00040,0.00290,0.00040
量子;0.00010,0.00010,0.04025,0.00010,0.00025,0.00010,0.00130,0.00010,0.00030,0.00010,0.00140,0.00025,0.00010,0.00010,0.00025,0.00210,0.00040,0.00020
俄;0.00010,0.00010,0.00275,0.00010,0.00025,0.00030,0.00090,0.00020,0.00040,0.00130,0.05410,0.00025,0.00080,0.00160,0.00025,0.00020,0.00090,0.02690
辆;0.00040,0.04680,0.00025,0.00060,0.00050,0.00010,0.00070,0.00020,0.00060,0.00050,0.00540,0.00050,0.00620,0.00060,0.00250,0.00130,0.00100,0.00300
搭;0.00050,0.00460,0.00050,0.00190,0.00025,0.04430,0.00040,0.00170,0.00090,0.00030,0.00110,0.00100,0.00100,0.00080,0.00150,0.00120,0.00300,0.00130
古代;0.00070,0.00010,0.00200,0.00030,0.00075,0.00050,0.00020,0.00040,0.00020,0.03480,0.00080,0.00100,0.00010,0.00010,0.00325,0.00020,0.00040,0.00020
宝马;0.00010,0.03300,0.00025,0.00050,0.00025,0.00010,0.00030,0.00010,0.00010,0.00020,0.00020,0.00025,0.00150,0.00030,0.00075,0.00090,0.00030,0.00030
公告;0.00010,0.00040,0.00050,0.00010,0.00025,0.00010,0.03260,0.00010,0.00160,0.00010,0.00010,0.00025,0.00100,0.00010,0.00025,0.00030,0.00050,0.00020
地方;0.00200,0.00200,0.00250,0.00070,0.00125,0.00100,0.00240,0.00210,0.00110,0.00270,0.00170,0.00450,0.00300,0.00130,0.00325,0.00100,0.04810,0.00230
球;0.00060,0.00030,0.00425,0.00130,0.00025,0.00090,0.00070,0.00120,0.00560,0.00030,0.00080,0.00025,0.00140,0.04170,0.00025,0.00050,0.00040,0.00120
奥运;0.00010,0.00030,0.00050,0.00130,0.00025,0.00110,0.00110,0.00010,0.00040,0.00040,0.00040,0.00025,0.00040,0.03690,0.00025,0.00120,0.00030,0.00320
游;0.00060,0.00120,0.00025,0.00130,0.00025,0.00040,0.00100,0.00010,0.05910,0.00060,0.00040,0.00025,0.00260,0.00110,0.00075,0.00060,0.04030,0.00110
微;0.00090,0.00090,0.00550,0.01000,0.02000,0.00580,0.00330,0.00110,0.00590,0.00040,0.00180,0.00050,0.01040,0.00260,0.00400,0.06140,0.00160,0.00140
道;0.00280,0.00480,0.00100,0.00300,0.00375,0.00150,0.00260,0.05620,0.00390,0.00510,0.00230,0.00450,0.00370,0.00260,0.00575,0.00250,0.00430,0.00120
奥迪;0.00010,0.02990,0.00025,0.00020,0.00050,0.00010,0.00010,0.00010,0.00010,0.00010,0.00020,0.00025,0.00130,0.00010,0.00025,0.00020,0.00010,0.00020
美国;0.00310,0.00560,0.01825,0.00350,0.00025,0.00190,0.01290,0.00260,0.00170,0.01200,0.08500,0.00225,0.00420,0.01050,0.00225,0.01040,0.00630,0.09660
涨;0.00160,0.00240,0.00100,0.00030,0.00025,0.00050,0.03950,0.00110,0.00070,0.00060,0.00060,0.00100,0.00130,0.00090,0.00075,0.00260,0.00090,0.00080
家长;0.03330,0.00020,0.00025,0.00050,0.00075,0.00020,0.00030,0.00050,0.00020,0.00010,0.00030,0.00100,0.00320,0.00020,0.00050,0.00010,0.00010,0.00040
球员;0.00010,0.00010,0.00025,0.00010,0.00025,0.00010,0.00010,0.00010,0.00040,0.00010,0.00010,0.00025,0.00010,0.02810,0.00025,0.00010,0.00010,0.00020
奔驰;0.00010,0.03070,0.00025,0.00020,0.00025,0.00020,0.00020,0.00010,0.00020,0.00010,0.00030,0.00025,0.00150,0.00040,0.00050,0.00040,0.00030,0.00020
搭配;0.00120,0.00050,0.00025,0.00070,0.00025,0.04090,0.00020,0.00600,0.00690,0.00020,0.00090,0.00200,0.00010,0.00040,0.00025,0.00020,0.00010,0.00010
买;0.00640,0.09070,0.00100,0.00480,0.00175,0.01870,0.01970,0.01440,0.01050,0.00230,0.01180,0.00625,0.01920,0.00580,0.01075,0.01620,0.00780,0.00630
气质;0.00060,0.00140,0.00025,0.00480,0.00150,0.03610,0.00010,0.00040,0.00060,0.00030,0.00040,0.00025,0.00010,0.00130,0.00025,0.00010,0.00020,0.00100
穿衣;0.00080,0.00010,0.00025,0.00130,0.00025,0.02960,0.00010,0.00010,0.00010,0.00030,0.00020,0.00025,0.00010,0.00030,0.00025,0.00030,0.00010,0.00020
时髦;0.00010,0.00010,0.00025,0.00050,0.00025,0.02690,0.00010,0.00020,0.00010,0.00050,0.00010,0.00025,0.00010,0.00020,0.00025,0.00010,0.00010,0.00020
车型;0.00010,0.02610,0.00025,0.00010,0.00025,0.00010,0.00020,0.00010,0.00020,0.00010,0.00010,0.00025,0.00020,0.00010,0.00025,0.00010,0.00020,0.00010
部队;0.00010,0.00040,0.00025,0.00020,0.00025,0.00020,0.00010,0.00040,0.00050,0.00270,0.03100,0.00025,0.00020,0.00020,0.00075,0.00010,0.00020,0.00140
