车;0.03911,5.05067,0.06569,0.08257,0.02202,0.03596,0.11502,0.02100,0.06708,0.03049,0.06032,0.01318,0.73190,0.04355,0.12712,0.17526,0.19815,0.11548
宝宝;3.64219,0.00946,0.00626,0.05505,0.00881,0.01065,0.00831,0.07841,0.03924,0.00305,0.00393,0.04941,0.01574,0.01089,0.06659,0.01620,0.01511,0.02535
孩子;4.15369,0.02027,0.00938,0.09961,0.02643,0.01332,0.01663,0.22124,0.01519,0.04421,0.01180,0.10540,0.21249,0.01769,0.16950,0.02946,0.06717,0.10562
故事;0.06319,0.01757,0.03128,0.04587,0.11011,0.01731,0.03049,0.02660,0.07215,0.21496,0.02229,0.01647,0.10074,0.02449,3.31729,0.03976,0.07389,0.02394
吃;1.01247,0.02973,0.07820,0.16907,0.05726,0.09456,0.06375,5.03669,0.04303,0.17989,0.07868,2.50659,0.22351,0.08437,0.22700,0.05891,0.31570,0.12956
股;0.00150,0.01486,0.02502,0.00655,0.00881,0.01865,2.25742,0.00840,0.00380,0.00915,0.00787,0.00988,0.00472,0.00680,0.01211,0.04124,0.00168,0.00704
穿;0.10380,0.01621,0.02502,0.23067,0.00881,2.60641,0.01247,0.01120,0.03291,0.07470,0.05376,0.02635,0.06139,0.07893,0.07264,0.01325,0.06213,0.07041
科学家;0.00903,0.00135,1.39510,0.00131,0.00440,0.00266,0.00139,0.00140,0.00127,0.00305,0.00525,0.00659,0.00157,0.00136,0.00303,0.01620,0.00504,0.01549
地球;0.00301,0.01081,1.62658,0.00655,0.00881,0.00799,0.00416,0.00560,0.00380,0.01372,0.02623,0.00988,0.01102,0.00680,0.00605,0.00736,0.06381,0.02253
民间;0.01805,0.01216,0.00626,0.00655,0.00881,0.00533,0.03187,0.02380,0.00633,0.13873,0.01311,0.07905,0.04565,0.00816,1.64957,0.00442,0.01175,0.00704
LOL;0.00150,0.00135,0.00313,0.00524,0.00440,0.00400,0.00139,0.00140,1.24799,0.00152,0.00393,0.00329,0.00630,0.00272,0.00605,0.00295,0.00168,0.00141
游戏;0.03159,0.00540,0.01564,0.04325,0.00881,0.00400,0.02217,0.00420,1.40747,0.00915,0.01180,0.00329,0.01259,0.00408,0.01816,0.05302,0.00840,0.00845
妈妈;1.85043,0.00946,0.00938,0.10092,0.02202,0.05860,0.00277,0.14983,0.00633,0.00152,0.00787,0.04282,0.08814,0.01633,0.09080,0.00736,0.01679,0.04929
SUV;0.00150,1.17822,0.00313,0.00131,0.00440,0.00133,0.00139,0.00140,0.00127,0.00152,0.00131,0.00329,0.00315,0.00136,0.00303,0.00147,0.00168,0.00282
宇宙;0.00150,0.00270,1.23870,0.00524,0.00440,0.00932,0.00416,0.00280,0.01772,0.00457,0.00656,0.00329,0.00157,0.00272,0.00303,0.00884,0.00168,0.00563
中国;0.07071,0.34049,0.49736,0.26082,0.00881,0.11454,1.03794,0.23664,0.13670,1.68763,4.33768,0.05929,0.32581,0.88997,0.02119,0.67453,1.39715,1.41246
好吃;0.00752,0.00270,0.00938,0.00655,0.00440,0.00266,0.00139,1.23362,0.00127,0.00305,0.00131,0.04611,0.00157,0.00408,0.00605,0.00295,0.01175,0.00141
菜;0.01204,0.03513,0.00626,0.02621,0.00440,0.01199,0.01386,1.49966,0.03417,0.02592,0.01180,0.13505,0.05037,0.01769,0.01513,0.02209,0.02183,0.01408
做法;0.05717,0.00676,0.00313,0.00262,0.00881,0.00266,0.00139,1.14120,0.00380,0.00457,0.00262,0.00988,0.00787,0.00272,0.00908,0.00295,0.00168,0.00563
手机;0.04965,0.01486,0.01564,0.02621,0.01321,0.01332,0.01247,0.00840,0.07088,0.00305,0.01442,0.02306,0.13221,0.00816,0.03935,1.53611,0.03191,0.03098
火星;0.00301,0.00135,0.97595,0.01049,0.00440,0.00133,0.00139,0.00140,0.00380,0.00305,0.01180,0.00329,0.00157,0.00272,0.00303,0.00589,0.00168,0.00986
